product_name,short_description,description,recommended_price,stock,insurance_label,upgrade_source_type,upgrade_target,market_lowest_usd,market_listing_count,cheapest_seller,our_cost_usd,margin_usd,from_ship,to_ship,insurance_months,from_msrp,to_msrp
Upgrade - Aurora LX to C8X Pisces Expedition  BIS Warbond Edition,"CCU: Aurora Mk I LX → C8X Pisces Expedition | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Aurora Mk I LX → C8X Pisces Expedition

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Aurora Mk I LX into a C8X Pisces Expedition without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,1,120 months,warbond,C8X Pisces Expedition,none,0,,5.00,,Aurora Mk I LX,C8X Pisces Expedition,120,35,45
Upgrade - Starfarer to Caterpillar Warbond Edition,"CCU: Starfarer → Caterpillar | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Starfarer → Caterpillar

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Starfarer into a Caterpillar without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,3,120 months,warbond,Caterpillar,none,0,,5.00,,Starfarer,Caterpillar,120,300,330
Upgrade - Avenger Warlock to Hull A Standard Edition,"CCU: Avenger Warlock → Hull A | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Avenger Warlock → Hull A

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Avenger Warlock into a Hull A without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,5,no ins.,regular,Hull A,none,0,,5.00,,Avenger Warlock,Hull A,0,85,100
Upgrade - Freelancer DUR to Hull B Standard Edition,"CCU: Freelancer DUR → Hull B | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Freelancer DUR → Hull B

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Freelancer DUR into a Hull B without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,10,no ins.,regular,Hull B,none,0,,5.00,,Freelancer DUR,Hull B,0,135,280
Upgrade - Starfarer Gemini to Hull C Standard Edition,"CCU: Starfarer Gemini → Hull C | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Starfarer Gemini → Hull C

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Starfarer Gemini into a Hull C without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,2,no ins.,regular,Hull C,none,0,,10.00,,Starfarer Gemini,Hull C,0,340,500
Upgrade - 600i Explorer to M2 Hercules Warbond Edition,"CCU: 600i Explorer → M2 Hercules | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | 600i Explorer → M2 Hercules

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged 600i Explorer into a M2 Hercules without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,1,120 months,warbond,M2 Hercules,none,0,,5.00,,600i Explorer,M2 Hercules,120,475,520
Upgrade - Vanguard Hoplite to Mercury BIS Warbond Edition,"CCU: Vanguard Hoplite → Mercury | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vanguard Hoplite → Mercury

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vanguard Hoplite into a Mercury without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,1,120 months,warbond,Mercury,none,0,,5.00,,Vanguard Hoplite,Mercury,120,240,260
Upgrade - Nova to RAFT Standard Edition,"CCU: Nova → RAFT | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Nova → RAFT

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Nova into a RAFT without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,5,no ins.,regular,RAFT,none,0,,5.00,,Nova,RAFT,0,120,190
Upgrade - Prospector to Vulture Warbond Edition,"CCU: Prospector → Vulture | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prospector → Vulture

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prospector into a Vulture without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,5,120 months,warbond,Vulture,none,0,,5.00,,Prospector,Vulture,120,155,175
Upgrade - Prospector to Vulture Warbond Edition,"CCU: Prospector → Vulture | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Prospector → Vulture

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Prospector into a Vulture without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,5,no ins.,warbond,Vulture,none,0,,5.00,,Prospector,Vulture,0,155,175
Upgrade - Razor to Zeus Mk II CL Standard Upgrade,"CCU: Razor → Zeus Mk II CL | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Razor → Zeus Mk II CL

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Razor into a Zeus Mk II CL without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,1,no ins.,regular,Zeus Mk II CL,none,0,,5.00,,Razor,Zeus Mk II CL,0,145,175
Upgrade - Razor to Zeus Mk II ES Standard Upgrade,"CCU: Razor → Zeus Mk II ES | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Razor → Zeus Mk II ES

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Razor into a Zeus Mk II ES without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,1,no ins.,regular,Zeus Mk II ES,none,0,,5.00,,Razor,Zeus Mk II ES,0,145,175
